rider,course,distance_m,power_w
baseline,Tokyo,9838,337
baseline,Tokyo,9872,337
baseline,Tokyo,9905,337
baseline,Tokyo,9938,337
baseline,Tokyo,9971,337
baseline,Tokyo,10004,337
baseline,Tokyo,10037,337
baseline,Tokyo,10071,337
baseline,Tokyo,10104,337
baseline,Tokyo,10137,337
baseline,Tokyo,10170,337
baseline,Tokyo,10203,337
baseline,Tokyo,10237,337
baseline,Tokyo,10270,337
baseline,Tokyo,10303,337
baseline,Tokyo,10336,337
baseline,Tokyo,10369,337
baseline,Tokyo,10402,337
baseline,Tokyo,10436,337
baseline,Tokyo,10469,337
baseline,Tokyo,10500,341
baseline,Tokyo,10526,340
baseline,Tokyo,10549,339
baseline,Tokyo,10572,339
baseline,Tokyo,10594,338
baseline,Tokyo,10617,337
baseline,Tokyo,10640,337
baseline,Tokyo,10662,336
baseline,Tokyo,10685,336
baseline,Tokyo,10707,335
baseline,Tokyo,10729,335
baseline,Tokyo,10752,334
baseline,Tokyo,10774,333
baseline,Tokyo,10796,333
baseline,Tokyo,10819,333
baseline,Tokyo,10841,332
baseline,Tokyo,10863,332
baseline,Tokyo,10885,331
baseline,Tokyo,10907,331
baseline,Tokyo,10929,330
baseline,Tokyo,10956,330
baseline,Tokyo,10992,330
baseline,Tokyo,11034,329
baseline,Tokyo,11080,329
baseline,Tokyo,11127,328
baseline,Tokyo,11175,328
baseline,Tokyo,11224,328
baseline,Tokyo,11273,327
baseline,Tokyo,11327,327
baseline,Tokyo,11393,327
baseline,Tokyo,11464,326
baseline,Tokyo,11540,326
baseline,Tokyo,11619,326
baseline,Tokyo,11699,326
baseline,Tokyo,11779,325
baseline,Tokyo,11861,325
baseline,Tokyo,11943,325
baseline,Tokyo,12025,324
baseline,Tokyo,12107,324
baseline,Tokyo,12189,324
baseline,Tokyo,12271,324
baseline,Tokyo,12353,323
baseline,Tokyo,12436,323
baseline,Tokyo,12518,323
baseline,Tokyo,12601,323
baseline,Tokyo,12685,322
baseline,Tokyo,12768,322
baseline,Tokyo,12852,322
baseline,Tokyo,12935,322
baseline,Tokyo,13019,322
baseline,Tokyo,13103,321
baseline,Tokyo,13186,321
baseline,Tokyo,13270,321
baseline,Tokyo,13354,321
baseline,Tokyo,13437,321
baseline,Tokyo,13521,320
baseline,Tokyo,13604,320
baseline,Tokyo,13688,320
baseline,Tokyo,13772,320
baseline,Tokyo,13855,320
baseline,Tokyo,13939,320
baseline,Tokyo,14022,319
baseline,Tokyo,14106,319
baseline,Tokyo,14190,319
baseline,Tokyo,14273,319
baseline,Tokyo,14357,319
baseline,Tokyo,14440,319
baseline,Tokyo,14523,318
baseline,Tokyo,14603,318
baseline,Tokyo,14682,318
baseline,Tokyo,14759,318
baseline,Tokyo,14836,318
baseline,Tokyo,14912,318
baseline,Tokyo,14988,318
baseline,Tokyo,15064,317
baseline,Tokyo,15140,317
baseline,Tokyo,15215,317
baseline,Tokyo,15291,317
baseline,Tokyo,15366,317
baseline,Tokyo,15441,317
baseline,Tokyo,15513,317
baseline,Tokyo,15584,317
baseline,Tokyo,15654,316
baseline,Tokyo,15723,316
baseline,Tokyo,15791,316
baseline,Tokyo,15860,316
baseline,Tokyo,15925,316
baseline,Tokyo,15988,316
baseline,Tokyo,16048,316
baseline,Tokyo,16107,316
baseline,Tokyo,16165,315
baseline,Tokyo,16222,315
baseline,Tokyo,16279,315
baseline,Tokyo,16336,315
baseline,Tokyo,16393,315
baseline,Tokyo,16449,315
baseline,Tokyo,16506,315
baseline,Tokyo,16562,315
baseline,Tokyo,16612,315
baseline,Tokyo,16656,315
baseline,Tokyo,16697,314
baseline,Tokyo,16736,314
baseline,Tokyo,16774,314
baseline,Tokyo,16811,314
baseline,Tokyo,16848,314
baseline,Tokyo,16884,314
baseline,Tokyo,16921,314
baseline,Tokyo,16957,314
baseline,Tokyo,16993,314
baseline,Tokyo,17027,314
baseline,Tokyo,17053,314
baseline,Tokyo,17076,314
baseline,Tokyo,17099,313
baseline,Tokyo,17121,313
baseline,Tokyo,17142,313
baseline,Tokyo,17164,313
baseline,Tokyo,17186,313
baseline,Tokyo,17208,313
baseline,Tokyo,17229,313
baseline,Tokyo,17251,313
baseline,Tokyo,17273,313
baseline,Tokyo,17295,313
baseline,Tokyo,17316,313
baseline,Tokyo,17338,313
baseline,Tokyo,17361,313
baseline,Tokyo,17387,312
baseline,Tokyo,17415,312
baseline,Tokyo,17443,312
baseline,Tokyo,17472,312
baseline,Tokyo,17500,312
baseline,Tokyo,17529,312
baseline,Tokyo,17558,312
baseline,Tokyo,17587,312
baseline,Tokyo,17616,312
baseline,Tokyo,17645,312
baseline,Tokyo,17674,312
baseline,Tokyo,17703,312
baseline,Tokyo,17731,312
baseline,Tokyo,17760,312
baseline,Tokyo,17789,312
baseline,Tokyo,17819,271
baseline,Tokyo,17855,271
baseline,Tokyo,17896,271
baseline,Tokyo,17940,271
baseline,Tokyo,17985,271
baseline,Tokyo,18031,271
baseline,Tokyo,18078,271
baseline,Tokyo,18125,271
baseline,Tokyo,18173,271
baseline,Tokyo,18221,271
baseline,Tokyo,18269,271
baseline,Tokyo,18317,271
baseline,Tokyo,18365,271
baseline,Tokyo,18413,271
baseline,Tokyo,18461,271
baseline,Tokyo,18509,271
baseline,Tokyo,18557,271
baseline,Tokyo,18606,271
baseline,Tokyo,18654,271
baseline,Tokyo,18702,271
baseline,Tokyo,18752,363
baseline,Tokyo,18806,363
baseline,Tokyo,18862,363
baseline,Tokyo,18921,363
baseline,Tokyo,18981,363
baseline,Tokyo,19041,363
baseline,Tokyo,19103,363
baseline,Tokyo,19164,363
baseline,Tokyo,19225,363
baseline,Tokyo,19287,363
baseline,Tokyo,19349,363
baseline,Tokyo,19410,363
baseline,Tokyo,19472,363
baseline,Tokyo,19534,363
baseline,Tokyo,19596,363
baseline,Tokyo,19658,363
baseline,Tokyo,19720,363
baseline,Tokyo,19781,363
baseline,Tokyo,19843,363
baseline,Tokyo,19905,363
baseline,Tokyo,19966,363
baseline,Tokyo,20027,363
baseline,Tokyo,20087,361
baseline,Tokyo,20147,359
baseline,Tokyo,20208,358
baseline,Tokyo,20268,356
baseline,Tokyo,20328,355
baseline,Tokyo,20389,354
baseline,Tokyo,20451,352
baseline,Tokyo,20514,351
baseline,Tokyo,20577,350
baseline,Tokyo,20641,349
